Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Cost,Price
1,1,Venerated Loxodon,Guilds of Ravnica,30,,Russian,foil,,,,,,,0,{4}{W},$2.24
1,1,Wakening Sun's Avatar,Ixalan,44,,Russian,,,,,,,,0,{5}{W}{W}{W},$1.64
1,1,Watchful Giant,Ravnica Allegiance,30,Near Mint,Russian,foil,,,,,,,0,{5}{W},$0.29
1,1,Arcane Adaptation,Ixalan,46,,Russian,,,,,,,,0,{2}{U},$1.32
1,1,Dreamcaller Siren,Ixalan,54,Near Mint,English,foil,,,,,,,0,{2}{U}{U},$0.82
1,1,"Fblthp, the Lost",War of the Spark,50,,Russian,,,,,,,,0,{1}{U},$0.45
1,1,Fleet Swallower,Ixalan,57,,Russian,,,,,,,,0,{5}{U}{U},$0.43
1,1,Gateway Sneak,Ravnica Allegiance,40,Near Mint,Russian,foil,,,,,,,0,{2}{U},$0.35
1,1,Herald of Secret Streams,Ixalan,59,Near Mint,English,foil,,,,,,,0,{3}{U},$2.40
1,1,"Jace, Wielder of Mysteries",War of the Spark,54,,Russian,,,,,,,,0,{1}{U}{U}{U},$2.13
1,1,Karn's Temporal Sundering,Dominaria,55,,Russian,,,,,,,,0,{4}{U}{U},$0.69
1,1,Mesmerizing Benthid,Ravnica Allegiance,43,,Russian,,,,,,,,0,{3}{U}{U},$0.90
1,1,Metamorphic Alteration,Core Set 2019,60,,Russian,,,,,,,,0,{1}{U},$0.41
1,1,Narcomoeba,Guilds of Ravnica,47,Near Mint,Russian,,,,,,,,,{1}{U},$0.42
1,1,Narset's Reversal,War of the Spark,62,,Russian,,,,,,,,0,{U}{U},$2.33
1,1,Omnispell Adept,Guilds of Ravnica,49,,Russian,,,,,,,,0,{4}{U},$0.34
1,1,Precognition Field,Dominaria,61,,English,,,,,,,,0,{3}{U},$0.31
1,1,Precognitive Perception,Ravnica Allegiance,45,,Russian,,,,,,,,0,{3}{U}{U},$0.43
1,1,Tempest Djinn,Dominaria,68,,English,,,,,,,,0,{U}{U}{U},$1.02
1,1,The Antiquities War,Dominaria,42,,Russian,,,,,,,,0,{3}{U},$0.50
1,1,The Mirari Conjecture,Dominaria,57,,Russian,,,,,,,,0,{4}{U},$0.41
1,1,Verity Circle,Ravnica Allegiance,58,,Russian,,,,,,,,0,{2}{U},$0.39
1,1,Windreader Sphinx,Core Set 2019,84,,Russian,,,,,,,,0,{5}{U}{U},$0.32
3,3,Blood Operative,Guilds of Ravnica,63,,Russian,,,,,,,,0,{1}{B}{B},$0.32
1,1,Bolas's Citadel,War of the Spark,79,,Russian,,,,,,,,0,{3}{B}{B}{B},$1.86
1,1,Deadeye Tracker,Ixalan,99,Near Mint,Russian,,,,,,,,0,{B},$0.46
1,1,Deadeye Tracker,Ixalan,99,,English,,,,,,,,0,{B},$0.46
2,2,Death Baron,Core Set 2019,90,,English,,,,,,,,0,{1}{B}{B},$3.95
1,1,Demon of Catastrophes,Core Set 2019,91,,English,,,,,,,,0,{2}{B}{B},$0.50
1,1,Demon of Catastrophes,Core Set 2019,91,Near Mint,Russian,,,,,,,,0,{2}{B}{B},$0.50
1,1,Demonlord Belzenlok,Dominaria,86,,Russian,,,,,,,,0,{4}{B}{B},$1.19
1,1,Font of Agonies,Ravnica Allegiance,74,,Russian,,,,,,,,0,{B},$0.47
1,1,Gutterbones,Ravnica Allegiance,76,Near Mint,English,,,,,,,,0,{B},$1.50
1,1,Lich's Mastery,Dominaria,98,,Russian,,,,,,,,0,{3}{B}{B}{B},$0.38
1,1,Liliana's Contract,Core Set 2019,107,,Russian,,,,,,,,0,{3}{B}{B},$0.43
1,1,Open the Graves,Core Set 2019,112,,English,,,,,,,,0,{3}{B}{B},$1.01
2,2,Open the Graves,Core Set 2019,112,Near Mint,Russian,,,,,,,,0,{3}{B}{B},$1.01
1,1,Pestilent Spirit,Ravnica Allegiance,81,,Russian,,,,,,,,0,{2}{B},$0.52
3,3,Phylactery Lich,Core Set 2019,113,,Russian,,,,,,,,0,{B}{B}{B},$0.33
1,1,Priest of Forgotten Gods,Ravnica Allegiance,83,,Russian,,,,,,,,0,{1}{B},$2.53
1,1,Ruin Raider,Ixalan,118,,English,,,,,,,,0,{2}{B},$0.38
1,1,Sword-Point Diplomacy,Ixalan,126,,Russian,,,,,,,,0,{2}{B},$0.44
1,1,"Whisper, Blood Liturgist",Prerelease Events: Dominaria,111,,Russian,foil,,,,,,,0,{3}{B},$1.99
2,2,Amplifire,Ravnica Allegiance,92,,Russian,,,,,,,,0,{2}{R}{R},$0.30
1,1,Angrath's Marauders,Ixalan,132,,Russian,,,,,,,,0,{5}{R}{R},$0.31
2,2,Apex of Power,Core Set 2019,129,,Russian,,,,,,,,0,{7}{R}{R}{R},$0.76
2,2,Brass's Bounty,Launch Parties,42,Near Mint,Russian,foil,,,,,,,0,{6}{R},$0.75
1,1,Burning Sun's Avatar,Ixalan,135,,Russian,,,,,,,,0,{3}{R}{R}{R},$0.32
1,1,Cosmotronic Wave,Guilds of Ravnica,95,Near Mint,Russian,foil,,,,,,,0,{3}{R},$0.30
1,1,Crater's Claws,Khans of Tarkir,106,,Russian,,,,,,,,0,{X}{R},$0.34
1,1,Demanding Dragon,Core Set 2019,135,,Russian,,,,,,,,0,{3}{R}{R},$0.81
4,4,Dismissive Pyromancer,Core Set 2019,136,,Russian,,,,,,,,0,{1}{R},$0.36
2,2,Erratic Cyclops,Guilds of Ravnica,98,,Russian,,,,,,,,0,{3}{R},$0.31
1,1,Form of the Dinosaur,Rivals of Ixalan,103,,Russian,,,,,,,,0,{4}{R}{R},$0.29
1,1,Goblin Barrage,Dominaria,128,Near Mint,English,foil,,,,,,,0,{3}{R},$0.43
1,1,Goblin Trashmaster,Core Set 2019,144,,Russian,,,,,,,,0,{2}{R}{R},$1.06
1,1,Goblin Warchief,Dominaria,130,Near Mint,Russian,foil,,,,,,,0,{1}{R}{R},$1.36
1,1,Goblin Warchief,Dominaria,130,Near Mint,English,foil,,,,,,,0,{1}{R}{R},$1.36
1,1,"Ilharg, the Raze-Boar",War of the Spark,133,Near Mint,Russian,,,,,,,,,{3}{R}{R},$6.74
1,1,Immolation Shaman,Ravnica Allegiance,106,,Russian,,,,,,,,0,{1}{R},$0.34
1,1,Jaya's Immolating Inferno,Dominaria,133,,English,,,,,,,,0,{X}{R}{R},$0.39
1,1,Jeering Instigator,Khans of Tarkir,113,,Russian,,,,,,,,0,{1}{R},$0.29
2,2,Lathnu Hellion,Kaladesh,121,,English,,,,,,,,0,{2}{R},$0.31
1,1,Madcap Experiment,Kaladesh,122,,English,,,,,,,,0,{3}{R},$0.36
1,1,Quicksmith Rebel,Launch Parties,37,Near Mint,Russian,foil,,,,,,,0,{3}{R},$0.42
1,1,Raptor Hatchling,Ixalan,155,Near Mint,English,foil,,,,,,,0,{1}{R},$1.29
1,1,Risk Factor,Guilds of Ravnica,113,Near Mint,English,,,,,,,,0,{2}{R},$4.49
1,1,Rowdy Crew,Ixalan,159,Near Mint,Russian,,,,,,,,,{2}{R}{R},$0.61
1,1,"Sarkhan, Fireblood",Core Set 2019,154,,Russian,,,,,,,,0,{1}{R}{R},$7.50
2,2,Sunbird's Invocation,Ixalan,165,,Russian,,,,,,,,0,{5}{R},$1.31
3,3,Two-Headed Giant,Dominaria,147,,Russian,,,,,,,,0,{2}{R}{R},$0.27
1,1,Awakening of Vitu-Ghazi,War of the Spark,152,,Russian,,,,,,,,0,{3}{G}{G},$0.33
1,1,"Ayula, Queen Among Bears",Modern Horizons,155,Near Mint,Russian,,,,,,,,,{1}{G},$0.91
2,2,Biogenic Ooze,Ravnica Allegiance,122,,Russian,,,,,,,,0,{3}{G}{G},$5.56
1,1,Bloom Hulk,War of the Spark,154,Near Mint,Russian,foil,,,,,,,0,{3}{G},$0.24
1,1,Crushing Canopy,Guilds of Ravnica,126,Near Mint,Russian,foil,,,,,,,0,{2}{G},$0.32
2,2,Deeproot Champion,Ixalan,185,,Russian,,,,,,,,0,{1}{G},$0.39
1,1,Elvish Clancaller,Core Set 2019,179,Near Mint,Russian,,,,,,,,0,{G}{G},$2.72
1,1,Elvish Clancaller,Core Set 2019,179,,English,,,,,,,,0,{G}{G},$2.72
1,1,End-Raze Forerunners,Ravnica Allegiance,124,,Russian,,,,,,,,0,{5}{G}{G}{G},$0.49
1,1,"Ghalta, Primal Hunger",Rivals of Ixalan,130,,Russian,,,,,,,,0,{10}{G}{G},$4.62
1,1,Ghirapur Guide,Core Set 2019,182,Near Mint,Russian,foil,,,,,,,0,{2}{G},$0.35
1,1,Gigantosaurus,Core Set 2019,185,,Russian,,,,,,,,0,{G}{G}{G}{G}{G},$1.36
1,1,"Goreclaw, Terror of Qal Sisma",Core Set 2019,186,,Russian,,,,,,,,0,{3}{G},$2.58
1,1,Growing Rites of Itlimoc,Ixalan,191,,Russian,,,,,,,,0,{2}{G},$7.64
1,1,Growth-Chamber Guardian,Ravnica Allegiance,128,,Russian,,,,,,,,0,{1}{G},$2.28
1,1,"Grunn, the Lonely King",Prerelease Events: Dominaria,165,,Russian,foil,,,,,,,0,{4}{G}{G},$1.50
1,1,Hungering Hydra,Core Set 2019,189,,Russian,,,,,,,,0,{X}{G},$0.75
1,1,Incubation Druid,Ravnica Allegiance,131,,Russian,,,,,,,,0,{1}{G},$4.22
1,1,"Marwyn, the Nurturer",Dominaria,172,,Russian,,,,,,,,0,{2}{G},$0.58
2,2,"Multani, Yavimaya's Avatar",Dominaria,174,,Russian,,,,,,,,0,{4}{G}{G},$2.70
1,1,"Nissa, Who Shakes the World",War of the Spark,169,Near Mint,Russian,,,,,,,,,{3}{G}{G},$6.00
2,2,Path of Discovery,Rivals of Ixalan,142,,Russian,,,,,,,,0,{3}{G},$3.56
1,1,Pride Sovereign,Hour of Devastation,126,,English,,,,,,,,0,{2}{G},$0.76
1,1,Rampaging Hippo,Hour of Devastation,128,Near Mint,Russian,foil,,,,,,,0,{4}{G}{G},$0.27
1,1,Ramunap Hydra,Hour of Devastation,130,,Russian,,,,,,,,0,{3}{G},$0.26
1,1,Ranging Raptors,Ixalan,201,Near Mint,English,foil,,,,,,,0,{2}{G},$1.73
1,1,Rhox Oracle,Core Set 2019,198,Near Mint,Russian,foil,,,,,,,0,{4}{G},$0.30
2,2,Ripjaw Raptor,Ixalan,203,,English,,,,,,,,0,{2}{G}{G},$2.60
1,1,Runic Armasaur,Core Set 2019,200,,English,,,,,,,,0,{1}{G}{G},$1.10
1,1,Shapers' Sanctuary,Ixalan,206,,Russian,,,,,,,,0,{G},$1.12
1,1,Steel Leaf Champion,Dominaria,182,,English,,,,,,,,0,{G}{G}{G},$1.87
1,1,Sylvan Awakening,Dominaria,183,Near Mint,English,foil,,,,misprint,,,0,{2}{G},$1.39
1,1,Thorn Lieutenant,Core Set 2019,203,,English,,,,,,,,0,{1}{G},$1.08
1,1,Thorn Lieutenant,Core Set 2019,203,Near Mint,Russian,,,,,,,,0,{1}{G},$1.08
1,1,Verdant Force,Dominaria,187,,Russian,,,,,,,,0,{5}{G}{G}{G},$0.31
1,1,Vine Mare,Core Set 2019,207,Near Mint,English,foil,,,,,,,0,{2}{G}{G},$1.27
1,1,"Azor, the Lawbringer",Rivals of Ixalan,154,,English,,,,,,,,0,{2}{W}{W}{U}{U},$2.48
1,1,Dovin's Acuity,Ravnica Allegiance,168,Near Mint,English,foil,,,,,,,0,{1}{W}{U},$0.69
2,2,Emergency Powers,Ravnica Allegiance,169,,Russian,,,,,,,,0,{5}{W}{U},$0.97
1,1,Lawmage's Binding,Ravnica Allegiance,190,Near Mint,Russian,foil,,,,,,,0,{1}{W}{U},$0.57
1,1,Oath of Teferi,Dominaria,200,,English,,,,,,,,0,{3}{W}{U},$1.09
1,1,"Aryel, Knight of Windgrace",Dominaria,192,,Russian,,,,,,,,0,{2}{W}{B},$0.34
1,1,Kaya's Wrath,Ravnica Allegiance,187,,Russian,,,,,,,,0,{W}{W}{B}{B},$2.40
1,1,"Kaya, Bane of the Dead",Prerelease Events: War of the Spark,231,Near Mint,Russian,foil,,,,,,,0,{3}{WB}{WB}{WB},$2.49
2,1,Mortify,Friday Night Magic,220,Near Mint,Russian,foil,,,,,,,0,{1}{W}{B},$2.00
1,1,Oath of Kaya,War of the Spark,209,,Russian,,,,,,,,0,{1}{W}{B},$0.46
1,1,Revival // Revenge,Ravnica Allegiance,228,,Russian,,,,,,,,0,{WB}{WB},$0.71
1,1,Seraph of the Scales,Ravnica Allegiance,205,,Russian,,,,,,,,0,{2}{W}{B},$5.32
1,1,"Sorin, Vengeful Bloodlord",War of the Spark,217,Near Mint,Russian,,,,,,,,,{2}{W}{B},$2.39
2,2,Teysa Karlov,Ravnica Allegiance,212,,Russian,,,,,,,,0,{2}{W}{B},$1.07
1,1,"Vona, Butcher of Magan",Ixalan,231,,Russian,,,,,,,,0,{3}{W}{B},$2.84
1,1,Solar Blaze,War of the Spark,216,,Russian,,,,,,,,0,{2}{R}{W},$0.31
2,2,"Ajani, the Greathearted",War of the Spark,184,,Russian,,,,,,,,0,{2}{G}{W},$1.30
1,1,Camaraderie,Guilds of Ravnica,157,,English,,,,,,,,0,{4}{G}{W},$0.31
2,1,"Emmara, Soul of the Accord",Standard Showdown Promos,14,Near Mint,Russian,,,,,,,,0,{G}{W},$2.88
1,1,"Emmara, Soul of the Accord",Guilds of Ravnica,168,,English,,,,,,,,0,{G}{W},$0.49
1,1,Join Shields,Guilds of Ravnica,181,Near Mint,English,foil,,,,,,,0,{3}{G}{W},$0.50
1,1,Satyr Enchanter,Core Set 2019,223,Near Mint,English,foil,,,,,,,0,{1}{G}{W},$1.94
1,1,"Shanna, Sisay's Legacy",Dominaria,204,Near Mint,English,foil,,,,,,,0,{G}{W},$0.78
2,2,"Tolsimir, Friend to Wolves",War of the Spark,224,,Russian,,,,,,,,0,{2}{G}{G}{W},$0.39
1,1,"Ashiok, Dream Render",Prerelease Events: War of the Spark,228,Near Mint,Russian,foil,,,,,,,0,{1}{UB}{UB},$16.68
1,1,Enter the God-Eternals,War of the Spark,196,,Russian,,,,,,,,0,{2}{U}{U}{B},$1.39
1,1,Enter the God-Eternals,War of the Spark,196,Near Mint,Russian,foil,,,,,,,0,{2}{U}{U}{B},$4.15
1,1,"Etrata, the Silencer",Guilds of Ravnica,170,,Russian,,,,,,,,0,{2}{U}{B},$0.41
1,1,Hostage Taker,Prerelease Events: Ixalan,223,Near Mint,Russian,foil,,,,,,,0,{2}{U}{B},$10.23
1,1,Hostage Taker,Ixalan,223,,,foil,,,,,,,,{2}{U}{B},$6.86
1,1,Mnemonic Betrayal,Guilds of Ravnica,189,,Russian,,,,,,,,0,{1}{U}{B},$0.87
1,1,Soul Diviner,War of the Spark,218,,Russian,,,,,,,,0,{U}{B},$0.38
2,1,Firemind's Research,Launch Parties,45,Near Mint,Russian,foil,,,,,,,0,{U}{R},$0.75
1,1,Firemind's Research,Guilds of Ravnica,171,,Russian,,,,,,,,0,{U}{R},$0.34
1,1,"Jori En, Ruin Diver",Oath of the Gatewatch,155,,English,,,,,,,,0,{1}{U}{R},$0.42
1,1,"Niv-Mizzet, Parun",Guilds of Ravnica,192,,Russian,,,,,,,,0,{U}{U}{U}{R}{R}{R},$1.77
1,1,Role Reversal,War of the Spark,214,,Russian,,,,,,,,0,{U}{U}{R},$0.31
1,1,Thousand-Year Storm,Guilds of Ravnica,207,,Russian,,,,,,,,0,{4}{U}{R},$3.58
1,1,Biomancer's Familiar,Ravnica Allegiance,158,,Russian,,,,,,,,0,{G}{U},$0.56
2,2,Simic Ascendancy,Ravnica Allegiance,207,,Russian,,,,,,,,0,{G}{U},$0.84
1,1,"Zegana, Utopian Speaker",Prerelease Events: Ravnica Allegiance,214,Near Mint,Russian,foil,,,,,,,0,{2}{G}{U},$1.99
1,1,"Zegana, Utopian Speaker","",,,English,,,,,,,,0,{2}{G}{U},$0.41
1,1,"Zegana, Utopian Speaker",Ravnica Allegiance,214,Near Mint,Russian,foil,,,,,,,0,{2}{G}{U},$1.66
1,1,Bedeck // Bedazzle,Ravnica Allegiance,221,,Russian,,,,,,,,0,{BR}{BR},$0.33
1,1,Hackrobat,Ravnica Allegiance,181,Near Mint,English,foil,,,,,,,0,{1}{B}{R},$0.42
5,1,"Judith, the Scourge Diva",Ravnica Allegiance,185,Near Mint,Russian,,,,,,,,,{1}{B}{R},$2.12
3,3,Theater of Horrors,Ravnica Allegiance,213,Near Mint,Russian,,,,,,,,,{1}{B}{R},$0.56
1,1,Widespread Brutality,War of the Spark,226,Near Mint,Russian,,,,,,,,,{1}{B}{R}{R},$0.34
1,1,Charnel Troll,Guilds of Ravnica,160,,Russian,,,,,,,,0,{1}{B}{G},$0.37
1,1,"Izoni, Thousand-Eyed",Guilds of Ravnica,180,,English,,,,,,,,0,{2}{B}{B}{G}{G},$0.44
1,1,Molderhulk,Guilds of Ravnica,190,Near Mint,English,foil,,,,,,,0,{7}{B}{G},$0.85
2,2,"Storrev, Devkarin Lich",War of the Spark,219,,Russian,,,,,,,,0,{1}{B}{B}{G},$0.35
2,2,Underrealm Lich,Guilds of Ravnica,211,,Russian,,,,,,,,0,{3}{B}{G},$2.42
1,1,Cindervines,Ravnica Allegiance,161,,Russian,,,,,,,,0,{R}{G},$1.90
1,1,"Domri, Anarch of Bolas",War of the Spark,191,Near Mint,Russian,,,,,,,,,{1}{R}{G},$1.24
1,1,Gruul Spellbreaker,Ravnica Allegiance,179,,Russian,,,,,,,,0,{1}{R}{G},$1.97
1,1,Regisaur Alpha,Ixalan,227,Near Mint,English,foil,,,,,,,0,{3}{R}{G},$2.13
2,2,Rubble Slinger,Ravnica Allegiance,217,Near Mint,Russian,foil,,,,,,,0,{RG},$0.25
1,1,"Samut, Voice of Dissent",Amonkhet,205,,Russian,,,,,,,,0,{3}{R}{G},$1.17
1,1,Jeskai Ascendancy,Khans of Tarkir,180,,Russian,,,,,,,,0,{U}{R}{W},$1.72
1,1,Amulet of Safekeeping,Core Set 2019,226,,Russian,,,,,,,,0,{2},$0.39
1,1,Arch of Orazca,Rivals of Ixalan,185,Near Mint,English,,,,,,,,0,,$1.40
2,2,Arch of Orazca,Rivals of Ixalan,185,Near Mint,Russian,,,,,,,,,,$1.40
1,1,Azor's Gateway,Prerelease Events: Rivals of Ixalan,176,Near Mint,Russian,foil,,,,,,,0,{2},$11.20
1,1,Blackblade Reforged,Prerelease Events: Dominaria,211,Near Mint,Russian,foil,,,,,,,0,{2},$6.41
5,1,Blood Crypt,Ravnica Allegiance,245,Near Mint,Russian,,,,,,,,,,$12.58
2,2,Chamber Sentry,Guilds of Ravnica,232,,Russian,,,,,,,,0,{X},$0.42
1,1,Chaos Wand,Core Set 2019,228,,English,,,,,,,,0,{3},$0.50
1,1,Crucible of Worlds,Core Set 2019,229,Near Mint,Russian,,,,,,,,0,{3},$28.99
1,1,Crucible of Worlds,Core Set 2019,229,,English,,,,,,,,0,{3},$28.99
1,1,Desecrated Tomb,Core Set 2019,230,,Russian,,,,,,,,0,{3},$0.43
1,1,Detection Tower,Core Set 2019,249,Near Mint,Russian,,,,,,,,,,$1.12
1,1,Dowsing Dagger,Ixalan,235,,Russian,,,,,,,,0,{2},$1.01
4,4,Electrostatic Pummeler,Kaladesh,210,Near Mint,Russian,,,,,,,,,{3},$0.36
1,1,Electrostatic Pummeler,Kaladesh,210,Near Mint,English,,,,,,,,0,{3},$0.36
1,1,Fell Flagship,Ixalan,238,Near Mint,Russian,,,,,,,,,{3},$0.35
2,2,Golden Guardian,Rivals of Ixalan,179,,Russian,,,,,,,,0,{4},$0.55
1,1,Guildmages' Forum,Guilds of Ravnica,250,Near Mint,Russian,,,,,,,,,,$0.42
1,1,Hinterland Harbor,Dominaria,240,Near Mint,English,foil,,,,,,,0,,$8.95
1,1,Howling Golem,Dominaria,218,Near Mint,Russian,foil,,,,,,,0,{3},$0.38
1,1,Oracle's Vault,Launch Parties,38,Near Mint,Russian,foil,,,,,,,0,{4},$0.53
1,1,Primal Amulet,Ixalan,243,,Russian,,,,,,,,0,{4},$4.48
2,2,Sigiled Sword of Valeron,Core Set 2019,244,,Russian,,,,,,,,0,{3},$0.39
1,1,Thran Temporal Gateway,Dominaria,233,,Russian,,,,,,,,0,{4},$0.62
2,2,Tome of the Guildpact,Ravnica Allegiance,242,,Russian,,,,,,,,0,{5},$0.36
2,2,Transmogrifying Wand,Core Set 2019,247,,Russian,,,,,,,,0,{3},$0.41
1,1,Transmogrifying Wand,Core Set 2019,247,Near Mint,English,,,,,,,,0,{3},$0.41
1,1,Vanquisher's Banner,Ixalan,251,,English,,,,,,,,0,{5},$4.80
